parameter,unit,value,censored
Nitrate,mg/l NO3,27.7316696364133,1
Nitrate,mg/l NO3,25,0
Nitrate,mg/l NO3,15.1481293154357,1
Nitrate,mg/l NO3,17.8092424797831,1
Nitrate,mg/l NO3,15.5266980010102,1
Nitrate,mg/l NO3,15,0
Nitrate,mg/l NO3,30.1719654974923,1
Nitrate,mg/l NO3,11.5098659578337,1
Nitrate,mg/l NO3,40.8968984774515,1
Nitrate,mg/l NO3,11.7326029165583,1
Nitrate,mg/l NO3,26.6535351416765,1
Nitrate,mg/l NO3,48.0377536256851,1
Nitrate,mg/l NO3,5.29457959516874,1
Nitrate,mg/l NO3,10.3060050499778,1
Nitrate,mg/l NO3,11.2459402647107,1
Nitrate,mg/l NO3,17.8422678166828,1
Nitrate,mg/l NO3,10.2722722136895,1
Nitrate,mg/l NO3,5,0
Nitrate,mg/l NO3,5,0
Nitrate,mg/l NO3,26.8984323360172,1
Nitrate,mg/l NO3,10.135223617549,1
Nitrate,mg/l NO3,5,0
Nitrate,mg/l NO3,10.9885034631373,1
Nitrate,mg/l NO3,25.2494612662476,1
Nitrate,mg/l NO3,37.9821410451627,1
Nitrate,mg/l NO3,9.40948780354113,1
Nitrate,mg/l NO3,10.439935145712,1
Nitrate,mg/l NO3,5,0
Nitrate,mg/l NO3,16.0556114720552,1
Nitrate,mg/l NO3,8.29790500929867,1
Nitrate,mg/l NO3,16.010905342044,1
Nitrate,mg/l NO3,25,0
Nitrate,mg/l NO3,22.6704454395554,1
Nitrate,mg/l NO3,8.45403781153859,1
Nitrate,mg/l NO3,16.4936106730872,1
Nitrate,mg/l NO3,5,0
Nitrate,mg/l NO3,8,0
Nitrate,mg/l NO3,7.31155112528896,1
Nitrate,mg/l NO3,5,0
Nitrate,mg/l NO3,15,0
Nitrate,mg/l NO3,13.7852497264199,1
Nitrate,mg/l NO3,9.80964044353892,1
Nitrate,mg/l NO3,19.199763119272,1
Nitrate,mg/l NO3,8,0
Nitrate,mg/l NO3,5.36036126687846,1
Nitrate,mg/l NO3,15.7949586373588,1
Nitrate,mg/l NO3,15,0
Nitrate,mg/l NO3,28.9757929930572,1
Nitrate,mg/l NO3,9.40397317751846,1
Nitrate,mg/l NO3,18.0543875001459,1
Nitrate,mg/l NO3,14.7782301064223,1
Nitrate,mg/l NO3,7.61177686539078,1
Nitrate,mg/l NO3,31.3569681486514,1
Nitrate,mg/l NO3,17.9168136751453,1
Nitrate,mg/l NO3,12.8565882979077,1
Nitrate,mg/l NO3,14.381324402644,1
Nitrate,mg/l NO3,18.3123059408265,1
Nitrate,mg/l NO3,15,0
Nitrate,mg/l NO3,5,0
Nitrate,mg/l NO3,14.4534013169885,1
Nitrate,mg/l NO3,9.77334922483584,1
Nitrate,mg/l NO3,13.6145399949566,1
Nitrate,mg/l NO3,17.2721302867592,1
Nitrate,mg/l NO3,28.2146711548077,1
Nitrate,mg/l NO3,7.87446120781094,1
Nitrate,mg/l NO3,26.6163470884855,1
Nitrate,mg/l NO3,14.902200280049,1
Nitrate,mg/l NO3,22.7167754739483,1
Nitrate,mg/l NO3,21.1668682535381,1
Nitrate,mg/l NO3,18.7750131438173,1
Nitrate,mg/l NO3,6.51513959372583,1
Nitrate,mg/l NO3,11.5407952136424,1
Nitrate,mg/l NO3,17.7096714011708,1
Nitrate,mg/l NO3,6.87496109987477,1
Nitrate,mg/l NO3,8.79604959694148,1
Nitrate,mg/l NO3,17.2635596025868,1
Nitrate,mg/l NO3,19.3154876438968,1
Nitrate,mg/l NO3,16.0910071387269,1
Nitrate,mg/l NO3,7.16017356466818,1
Nitrate,mg/l NO3,6.29736606346535,1
Nitrate,mg/l NO3,30.1934256170728,1
Nitrate,mg/l NO3,14.2214709664851,1
Nitrate,mg/l NO3,12.846406693586,1
Nitrate,mg/l NO3,8,0
Nitrate,mg/l NO3,5.95006808829914,1
Nitrate,mg/l NO3,17.587670887729,1
Nitrate,mg/l NO3,10.6943556458509,1
Nitrate,mg/l NO3,10.9172704054597,1
Nitrate,mg/l NO3,21.3277234566818,1
Nitrate,mg/l NO3,19.9467029957001,1
Nitrate,mg/l NO3,28.0859605115211,1
Nitrate,mg/l NO3,9.15495851000682,1
Nitrate,mg/l NO3,17.9970730517119,1
Nitrate,mg/l NO3,28.0690142960354,1
Nitrate,mg/l NO3,6.25591034645851,1
Nitrate,mg/l NO3,7.26831469187515,1
Nitrate,mg/l NO3,6.17776645742688,1
Nitrate,mg/l NO3,5.07573631091536,1
Nitrate,mg/l NO3,12.7813813753303,1
Nitrate,mg/l NO3,18.0279368833814,1
Nitrate,mg/l NO3,25.0426213025405,1
Nitrate,mg/l NO3,22.8020547451391,1
Nitrate,mg/l NO3,6.6730352200176,1
Nitrate,mg/l NO3,36.9323972831053,1
Nitrate,mg/l NO3,8.16564692488337,1
Nitrate,mg/l NO3,12.9786835858051,1
Nitrate,mg/l NO3,9.45597172863477,1
Nitrate,mg/l NO3,11.320213090274,1
Nitrate,mg/l NO3,13.6387611116814,1
Nitrate,mg/l NO3,13.0853930638122,1
Nitrate,mg/l NO3,12.0004538448808,1
Nitrate,mg/l NO3,12.9986257035949,1
Nitrate,mg/l NO3,9.10422743084818,1
Nitrate,mg/l NO3,9.00220656871211,1
Nitrate,mg/l NO3,8,0
Nitrate,mg/l NO3,9.68520791028882,1
Nitrate,mg/l NO3,15,0
Nitrate,mg/l NO3,61.6291270315757,1
Nitrate,mg/l NO3,5.38022535738487,1
Nitrate,mg/l NO3,13.2282372597423,1
Nitrate,mg/l NO3,15,0
Nitrate,mg/l NO3,5.04167594278288,1
Nitrate,mg/l NO3,13.1289725310916,1
Nitrate,mg/l NO3,6.69939027865178,1
Nitrate,mg/l NO3,12.169178849868,1
Nitrate,mg/l NO3,9.42197447458026,1
Nitrate,mg/l NO3,15,0
Nitrate,mg/l NO3,5,0
Nitrate,mg/l NO3,5.84245584461503,1
Nitrate,mg/l NO3,13.5679428194291,1
Nitrate,mg/l NO3,17.1255646634715,1
Nitrate,mg/l NO3,9.06366521956773,1
Nitrate,mg/l NO3,15,0
Nitrate,mg/l NO3,23.8965425675677,1
Nitrate,mg/l NO3,28.9020765588859,1
Nitrate,mg/l NO3,6.30745166848346,1
Nitrate,mg/l NO3,11.3544332667033,1
Nitrate,mg/l NO3,25.0506315941369,1
Nitrate,mg/l NO3,9.19042564739613,1
Nitrate,mg/l NO3,11.8049426101217,1
Nitrate,mg/l NO3,11.5690753608386,1
Nitrate,mg/l NO3,7.15200394350609,1
Nitrate,mg/l NO3,9.32957626164111,1
Nitrate,mg/l NO3,11.9691567788383,1
Nitrate,mg/l NO3,9.50367618470543,1
Nitrate,mg/l NO3,23.7606681293428,1
Nitrate,mg/l NO3,25,0
Nitrate,mg/l NO3,8,0
Nitrate,mg/l NO3,18.5064171688864,1
Nitrate,mg/l NO3,6.46355161355193,1
Nitrate,mg/l NO3,11.8886113791104,1
Nitrate,mg/l NO3,8,0
Nitrate,mg/l NO3,24.5399335030372,1
Nitrate,mg/l NO3,15,0
Nitrate,mg/l NO3,9.20082179120433,1
Nitrate,mg/l NO3,5.79530787576204,1
Nitrate,mg/l NO3,12.1258893153965,1
Nitrate,mg/l NO3,7.53704875224481,1
Nitrate,mg/l NO3,8.84546237931232,1
Nitrate,mg/l NO3,26.3799736216378,1
Nitrate,mg/l NO3,10.9647378956068,1
Nitrate,mg/l NO3,8,0
Nitrate,mg/l NO3,13.4358180472975,1
Nitrate,mg/l NO3,9.79975073964768,1
Nitrate,mg/l NO3,17.3572125473762,1
Nitrate,mg/l NO3,28.7734520050718,1
Nitrate,mg/l NO3,6.71527306000811,1
Nitrate,mg/l NO3,16.0032236256332,1
Nitrate,mg/l NO3,12.8191331885264,1
Nitrate,mg/l NO3,15,0
Nitrate,mg/l NO3,10.6135672996726,1
Nitrate,mg/l NO3,20.1251734334036,1
Nitrate,mg/l NO3,5,0
Nitrate,mg/l NO3,33.5714281584724,1
Nitrate,mg/l NO3,20.4680838405445,1
Nitrate,mg/l NO3,11.1287784536105,1
Nitrate,mg/l NO3,15,0
Nitrate,mg/l NO3,17.9179897123797,1
Nitrate,mg/l NO3,16.2796574351957,1
Nitrate,mg/l NO3,12.136125997831,1
Nitrate,mg/l NO3,13.3414207220166,1
Nitrate,mg/l NO3,8,0
Nitrate,mg/l NO3,15.1998268992196,1
Nitrate,mg/l NO3,14.5383880646588,1
Nitrate,mg/l NO3,10.3030954168496,1
Nitrate,mg/l NO3,5.46442011467327,1
Nitrate,mg/l NO3,15,0
Nitrate,mg/l NO3,16.9881828073803,1
Nitrate,mg/l NO3,7.37588610116581,1
Nitrate,mg/l NO3,5,0
Nitrate,mg/l NO3,13.7766502517375,1
Nitrate,mg/l NO3,9.9040841573595,1
Nitrate,mg/l NO3,14.1762357226985,1
Nitrate,mg/l NO3,5.60466070702753,1
Nitrate,mg/l NO3,6.85170641802831,1
Nitrate,mg/l NO3,23.3702749182852,1
Nitrate,mg/l NO3,15.5221019860447,1
Nitrate,mg/l NO3,17.32053032742,1
Nitrate,mg/l NO3,36.2028218587343,1
Nitrate,mg/l NO3,13.1614599364124,1
